,opto_stim,wheel_velocity,nose,paw_l,paw_r,tongue_end_l,tongue_end_r,motion_energy_body,motion_energy_left,motion_energy_right,pupil_diameter,score,acronym
243,0.008917173842362902,0.019908309632372,0.023533097554295335,0.02575887987394898,0.02820456802348592,0.031172459339159242,0.03223702085893343,0.0332255114017288,0.033225511401729135,0.03322551140172736,0.0332255114017298,0.0332255114017298,PL5
245,0.009109112828238564,0.013212120452937404,0.01757884082990291,0.021627522588522963,0.025787712844948407,0.027518727648688124,0.02864919301206348,0.028688575413681416,0.028688575413680417,0.028688575413680306,0.028688575413682638,0.028688575413682638,PL5
246,0.0039938527910964305,0.007582684744402712,0.014946316364293222,0.01805326569988508,0.02079349452077306,0.022617527412870597,0.02373076486169845,0.024338122049859634,0.024338122049860633,0.024338122049858857,0.02433812204986341,0.02433812204986341,PL5
247,0.05962039261543417,0.06796685396802082,0.07552393988283612,0.08203341238547768,0.08812465936440106,0.09130476251742847,0.09371554107729763,0.09445783055396184,0.09445783055396206,0.09445783055396062,0.0944578305539604,0.0944578305539604,PL5
250,0.00691899489560821,0.013298970883765415,0.02178148269333624,0.026214898965044142,0.029168269960708093,0.03200942927410144,0.03324867459122394,0.0336744928835262,0.033674492883528195,0.03367449288352764,0.033674492883530416,0.033674492883530416,PL5
251,0.007006353784387076,0.013079070776732316,0.01845503483855071,0.021973645242933548,0.026026249927808665,0.02959148823208002,0.03107289802701796,0.031105769698325347,0.031105769698322794,0.03110576969832346,0.03110576969832346,0.03110576969832346,PL5
253,0.009031168336781636,0.018670851288435375,0.02570811447266741,0.0327331633460648,0.0389284121752671,0.03972230261830012,0.04048317799398782,0.040519022958189765,0.04051902295819032,0.040519022958190876,0.040519022958189654,0.040519022958189654,PL5
254,0.030434339995787596,0.04906197033334381,0.05894536519608995,0.06725973342486935,0.07504680904162042,0.07958096780898094,0.08286922277402964,0.0845422385314265,0.08454223853142295,0.08454223853142384,0.08454223853141962,0.08454223853141962,PL5
256,0.007006353784387076,0.01307907077673165,0.01845503483855071,0.021973645242933548,0.026026249927808665,0.02959148823208002,0.03107289802701796,0.031105769698325347,0.031105769698322794,0.03110576969832346,0.03110576969832346,0.03110576969832346,PL5
260,0.03594271930024184,0.05054324490782103,0.05722105449227566,0.06344835464672183,0.07071603252154934,0.07164519437179628,0.07231725776782905,0.07236245166257493,0.0723624516625796,0.07236245166258348,0.07236245166257926,0.07236245166257926,PL5
263,0.02199154473548648,0.03495951555259125,0.040199004808455174,0.043101444115022036,0.0455872380205139,0.047783452830666984,0.04982253580722951,0.05170406749368839,0.051704067493684835,0.05170406749368839,0.05170406749368195,0.05170406749368195,PL5
265,0.09576936586804707,0.15940870748409552,0.1987784979109254,0.2024717480522964,0.21455251536979902,0.21902186163866244,0.2218224328617655,0.22372224494191628,0.22372224494192028,0.2237222449419214,0.2237222449419044,0.2237222449419044,PL5
